T,Combo ID,Combo Descricao,Link Original,Link Convertido,Produto,Nicho,Vendas,Nota,Desconto%,Preco Min,Comissao
T4000,,,https://s.shopee.com.br/20tRi409Us,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/20tRi409Us|||N200T4000,,Grupo_63,0,0.0,0,0,0
T4001,,,https://s.shopee.com.br/30gCGEEH3S,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/30gCGEEH3S|||N200T4001,,Grupo_63,0,0.0,0,0,0
T4002,,,https://s.shopee.com.br/3B1rDNpaye,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/3B1rDNpaye|||N200T4002,,Grupo_63,0,0.0,0,0,0
T4003,,,https://s.shopee.com.br/4VahX5zl5U,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/4VahX5zl5U|||N200T4003,,Grupo_63,0,0.0,0,0,0
T4004,,,https://s.shopee.com.br/2B7l1yUJBs,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/2B7l1yUJBs|||N200T4004,,Grupo_63,0,0.0,0,0,0
T4005,,,https://s.shopee.com.br/5LA0vZ4x4i,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/5LA0vZ4x4i|||N200T4005,,Grupo_63,0,0.0,0,0,0
T4006,,,https://s.shopee.com.br/7AbNXKmX6l,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/7AbNXKmX6l|||N200T4006,,Grupo_63,0,0.0,0,0,0
T4007,,,https://s.shopee.com.br/9pav4P8G7F,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/9pav4P8G7F|||N200T4007,,Grupo_63,0,0.0,0,0,0
T4008,,,https://s.shopee.com.br/3qLLpfiS00,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/3qLLpfiS00|||N200T4008,,Grupo_63,0,0.0,0,0,0
T4009,,,https://s.shopee.com.br/2VpOMhZ02j,https://luizalto.github.io/html16/pages/N190.html?dest=https://s.shopee.com.br/2VpOMhZ02j|||N200T4009,,Grupo_63,0,0.0,0,0,0
